r_f_Dollar_A_Bk,r_f_Yen_Bk_A,r_f_Dollar_Bk_B,r_f_Yen_B_Bk
6.17,1.87,10.0,6.2
6.18,1.88,10.0,6.2
6.19,1.89,10.0,6.2
6.2,1.9,10.0,6.2
6.21,1.91,10.0,6.2
6.22,1.92,10.0,6.2
6.23,1.93,10.0,6.2
6.24,1.94,10.0,6.2
6.25,1.95,10.0,6.2
6.26,1.96,10.0,6.2
6.27,1.97,10.0,6.2
6.28,1.98,10.0,6.2
6.29,1.99,10.0,6.2
6.3,2.0,10.0,6.2
6.31,2.01,10.0,6.2
6.32,2.02,10.0,6.2
6.33,2.03,10.0,6.2
6.34,2.04,10.0,6.2
6.35,2.05,10.0,6.2
6.36,2.06,10.0,6.2
6.37,2.07,10.0,6.2
6.38,2.08,10.0,6.2
6.39,2.09,10.0,6.2
6.4,2.1,10.0,6.2
6.41,2.11,10.0,6.2
6.42,2.12,10.0,6.2
6.43,2.13,10.0,6.2
6.44,2.14,10.0,6.2
6.45,2.15,10.0,6.2
6.46,2.16,10.0,6.2
6.47,2.17,10.0,6.2
6.48,2.18,10.0,6.2
6.49,2.19,10.0,6.2
6.5,2.2,10.0,6.2
6.51,2.21,10.0,6.2
6.52,2.22,10.0,6.2
6.53,2.23,10.0,6.2
6.54,2.24,10.0,6.2
6.55,2.25,10.0,6.2
6.56,2.26,10.0,6.2
6.57,2.27,10.0,6.2
6.58,2.28,10.0,6.2
6.59,2.29,10.0,6.2
6.6,2.3,10.0,6.2
6.61,2.31,10.0,6.2
6.62,2.32,10.0,6.2
6.63,2.33,10.0,6.2
6.64,2.34,10.0,6.2
6.65,2.35,10.0,6.2
6.66,2.36,10.0,6.2
6.67,2.37,10.0,6.2
6.68,2.38,10.0,6.2
6.69,2.39,10.0,6.2
6.7,2.4,10.0,6.2
6.71,2.41,10.0,6.2
6.72,2.42,10.0,6.2
6.73,2.43,10.0,6.2
6.74,2.44,10.0,6.2
6.75,2.45,10.0,6.2
6.76,2.46,10.0,6.2
6.77,2.47,10.0,6.2
6.78,2.48,10.0,6.2
6.79,2.49,10.0,6.2
6.8,2.5,10.0,6.2
6.81,2.51,10.0,6.2
6.82,2.52,10.0,6.2
6.83,2.53,10.0,6.2
6.84,2.54,10.0,6.2
6.85,2.55,10.0,6.2
6.86,2.56,10.0,6.2
6.87,2.57,10.0,6.2
6.88,2.58,10.0,6.2
6.89,2.59,10.0,6.2
6.9,2.6,10.0,6.2
6.91,2.61,10.0,6.2
6.92,2.62,10.0,6.2
6.93,2.63,10.0,6.2
6.94,2.64,10.0,6.2
6.95,2.65,10.0,6.2
6.96,2.66,10.0,6.2
6.97,2.67,10.0,6.2
6.98,2.68,10.0,6.2
6.99,2.69,10.0,6.2
7.0,2.7,10.0,6.2
7.01,2.71,10.0,6.2
7.02,2.72,10.0,6.2
7.03,2.73,10.0,6.2
7.04,2.74,10.0,6.2
7.05,2.75,10.0,6.2
7.06,2.76,10.0,6.2
7.07,2.77,10.0,6.2
7.08,2.78,10.0,6.2
7.09,2.79,10.0,6.2
7.1,2.8,10.0,6.2
7.11,2.81,10.0,6.2
7.12,2.82,10.0,6.2
7.13,2.83,10.0,6.2
7.14,2.84,10.0,6.2
7.15,2.85,10.0,6.2
7.16,2.86,10.0,6.2
7.17,2.87,10.0,6.2
7.18,2.88,10.0,6.2
7.19,2.89,10.0,6.2
7.2,2.9,10.0,6.2
7.21,2.91,10.0,6.2
7.22,2.92,10.0,6.2
7.23,2.93,10.0,6.2
7.24,2.94,10.0,6.2
7.25,2.95,10.0,6.2
7.26,2.96,10.0,6.2
7.27,2.97,10.0,6.2
7.28,2.98,10.0,6.2
7.29,2.99,10.0,6.2
7.3,3.0,10.0,6.2
7.31,3.01,10.0,6.2
7.32,3.02,10.0,6.2
7.33,3.03,10.0,6.2
7.34,3.04,10.0,6.2
7.35,3.05,10.0,6.2
7.36,3.06,10.0,6.2
7.37,3.07,10.0,6.2
7.38,3.08,10.0,6.2
7.39,3.09,10.0,6.2
7.4,3.1,10.0,6.2
7.41,3.11,10.0,6.2
7.42,3.12,10.0,6.2
7.43,3.13,10.0,6.2
7.44,3.14,10.0,6.2
7.45,3.15,10.0,6.2
7.46,3.16,10.0,6.2
7.47,3.17,10.0,6.2
7.48,3.18,10.0,6.2
7.49,3.19,10.0,6.2
7.5,3.2,10.0,6.2
7.51,3.21,10.0,6.2
7.52,3.22,10.0,6.2
7.53,3.23,10.0,6.2
7.54,3.24,10.0,6.2
7.55,3.25,10.0,6.2
7.56,3.26,10.0,6.2
7.57,3.27,10.0,6.2
7.58,3.28,10.0,6.2
7.59,3.29,10.0,6.2
7.6,3.3,10.0,6.2
7.61,3.31,10.0,6.2
7.62,3.32,10.0,6.2
7.63,3.33,10.0,6.2
7.64,3.34,10.0,6.2
7.65,3.35,10.0,6.2
7.66,3.36,10.0,6.2
7.67,3.37,10.0,6.2
7.68,3.38,10.0,6.2
7.69,3.39,10.0,6.2
7.7,3.4,10.0,6.2
7.71,3.41,10.0,6.2
7.72,3.42,10.0,6.2
7.73,3.43,10.0,6.2
7.74,3.44,10.0,6.2
7.75,3.45,10.0,6.2
7.76,3.46,10.0,6.2
7.77,3.47,10.0,6.2
7.78,3.48,10.0,6.2
7.79,3.49,10.0,6.2
7.8,3.5,10.0,6.2
7.81,3.51,10.0,6.2
7.82,3.52,10.0,6.2
7.83,3.53,10.0,6.2
7.84,3.54,10.0,6.2
7.85,3.55,10.0,6.2
7.86,3.56,10.0,6.2
7.87,3.57,10.0,6.2
7.88,3.58,10.0,6.2
7.89,3.59,10.0,6.2
7.9,3.6,10.0,6.2
7.91,3.61,10.0,6.2
7.92,3.62,10.0,6.2
7.93,3.63,10.0,6.2
7.94,3.64,10.0,6.2
7.95,3.65,10.0,6.2
7.96,3.66,10.0,6.2
7.97,3.67,10.0,6.2
7.98,3.68,10.0,6.2
7.99,3.69,10.0,6.2
8.0,3.7,10.0,6.2
8.01,3.71,10.0,6.2
8.02,3.72,10.0,6.2
8.03,3.73,10.0,6.2
8.04,3.74,10.0,6.2
8.05,3.75,10.0,6.2
8.06,3.76,10.0,6.2
8.07,3.77,10.0,6.2
8.08,3.78,10.0,6.2
8.09,3.79,10.0,6.2
8.1,3.8,10.0,6.2
8.11,3.81,10.0,6.2
8.12,3.82,10.0,6.2
8.13,3.83,10.0,6.2
8.14,3.84,10.0,6.2
8.15,3.85,10.0,6.2
8.16,3.86,10.0,6.2
8.17,3.87,10.0,6.2
8.18,3.88,10.0,6.2
8.19,3.89,10.0,6.2
8.2,3.9,10.0,6.2
8.21,3.91,10.0,6.2
8.22,3.92,10.0,6.2
8.23,3.93,10.0,6.2
8.24,3.94,10.0,6.2
8.25,3.95,10.0,6.2
8.26,3.96,10.0,6.2
8.27,3.97,10.0,6.2
8.28,3.98,10.0,6.2
8.29,3.99,10.0,6.2
8.3,4.0,10.0,6.2
8.31,4.01,10.0,6.2
8.32,4.02,10.0,6.2
8.33,4.03,10.0,6.2
8.34,4.04,10.0,6.2
8.35,4.05,10.0,6.2
8.36,4.06,10.0,6.2
8.37,4.07,10.0,6.2
8.38,4.08,10.0,6.2
8.39,4.09,10.0,6.2
8.4,4.1,10.0,6.2
8.41,4.11,10.0,6.2
8.42,4.12,10.0,6.2
8.43,4.13,10.0,6.2
8.44,4.14,10.0,6.2
8.45,4.15,10.0,6.2
8.46,4.16,10.0,6.2
8.47,4.17,10.0,6.2
8.48,4.18,10.0,6.2
8.49,4.19,10.0,6.2
8.5,4.2,10.0,6.2
8.51,4.21,10.0,6.2
8.52,4.22,10.0,6.2
8.53,4.23,10.0,6.2
8.54,4.24,10.0,6.2
8.55,4.25,10.0,6.2
8.56,4.26,10.0,6.2
8.57,4.27,10.0,6.2
8.58,4.28,10.0,6.2
8.59,4.29,10.0,6.2
8.6,4.3,10.0,6.2
8.61,4.31,10.0,6.2
8.62,4.32,10.0,6.2
8.63,4.33,10.0,6.2
8.64,4.34,10.0,6.2
8.65,4.35,10.0,6.2
8.66,4.36,10.0,6.2
8.67,4.37,10.0,6.2
8.68,4.38,10.0,6.2
8.69,4.39,10.0,6.2
8.7,4.4,10.0,6.2
8.71,4.41,10.0,6.2
8.72,4.42,10.0,6.2
8.73,4.43,10.0,6.2
8.74,4.44,10.0,6.2
8.75,4.45,10.0,6.2
8.76,4.46,10.0,6.2
8.77,4.47,10.0,6.2
8.78,4.48,10.0,6.2
8.79,4.49,10.0,6.2
8.8,4.5,10.0,6.2
8.81,4.51,10.0,6.2
8.82,4.52,10.0,6.2
8.83,4.53,10.0,6.2
8.84,4.54,10.0,6.2
8.85,4.55,10.0,6.2
8.86,4.56,10.0,6.2
8.87,4.57,10.0,6.2
8.88,4.58,10.0,6.2
8.89,4.59,10.0,6.2
8.9,4.6,10.0,6.2
8.91,4.61,10.0,6.2
8.92,4.62,10.0,6.2
8.93,4.63,10.0,6.2
8.94,4.64,10.0,6.2
8.95,4.65,10.0,6.2
8.96,4.66,10.0,6.2
8.97,4.67,10.0,6.2
8.98,4.68,10.0,6.2
8.99,4.69,10.0,6.2
9.0,4.7,10.0,6.2
9.01,4.71,10.0,6.2
9.02,4.72,10.0,6.2
9.03,4.73,10.0,6.2
9.04,4.74,10.0,6.2
9.05,4.75,10.0,6.2
9.06,4.76,10.0,6.2
9.07,4.77,10.0,6.2
9.08,4.78,10.0,6.2
9.09,4.79,10.0,6.2
9.1,4.8,10.0,6.2
9.11,4.81,10.0,6.2
9.12,4.82,10.0,6.2
9.13,4.83,10.0,6.2
9.14,4.84,10.0,6.2
9.15,4.85,10.0,6.2
9.16,4.86,10.0,6.2
9.17,4.87,10.0,6.2
9.18,4.88,10.0,6.2
9.19,4.89,10.0,6.2
9.2,4.9,10.0,6.2
9.21,4.91,10.0,6.2
9.22,4.92,10.0,6.2
9.23,4.93,10.0,6.2
9.24,4.94,10.0,6.2
9.25,4.95,10.0,6.2
9.26,4.96,10.0,6.2
9.27,4.97,10.0,6.2
9.28,4.98,10.0,6.2
9.29,4.99,10.0,6.2
9.3,5.0,10.0,6.2
